id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
500,7.6,0.44,0.30,2.2,0.075,18,52,0.9967,3.34,0.64,10.3,6
501,8.1,0.50,0.23,1.9,0.083,13,38,0.9973,3.24,0.71,9.9,5
502,6.9,0.38,0.34,2.6,0.068,24,70,0.9959,3.45,0.55,11.1,6
503,8.4,0.47,0.19,1.7,0.087,11,33,0.9976,3.19,0.74,9.5,5
504,7.3,0.41,0.36,2.4,0.072,23,65,0.9962,3.39,0.60,10.6,6
505,9.0,0.34,0.43,1.8,0.080,9,29,0.9982,3.13,0.83,9.6,6
506,7.7,0.46,0.27,2.0,0.076,16,47,0.9969,3.31,0.66,10.2,5
507,8.8,0.53,0.16,1.6,0.090,10,31,0.9978,3.16,0.76,9.2,5
508,7.0,0.37,0.38,2.8,0.065,27,76,0.9956,3.47,0.52,11.5,6
509,8.3,0.49,0.21,2.1,0.084,14,41,0.9974,3.22,0.72,9.7,5
510,7.5,0.43,0.32,2.3,0.070,19,56,0.9965,3.37,0.63,10.4,6
511,9.1,0.29,0.47,1.5,0.077,7,22,0.9983,3.10,0.87,9.8,6
512,7.2,0.52,0.24,2.7,0.073,52,44,0.9960,3.42,0.56,11.0,5
513,8.0,0.45,0.29,2.0,0.078,17,50,0.9970,3.28,0.67,10.1,6
514,6.8,0.36,0.40,3.0,0.066,28,80,0.9955,3.46,0.53,11.8,6
