id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,7.2,0.45,0.22,2.1,0.078,14,45,0.9967,3.31,0.62,9.7,6
1,8.1,0.52,0.31,2.4,0.081,18,55,0.9971,3.24,0.68,9.9,6
2,6.9,0.38,0.18,1.7,0.072,12,38,0.9958,3.42,0.55,10.2,7
3,7.6,0.61,0.05,1.9,0.085,16,49,0.9969,3.35,0.59,9.5,5
4,8.4,0.29,0.48,2.0,0.077,22,62,0.9974,3.18,0.73,10.0,6
5,7.0,0.55,0.12,2.3,0.083,15,47,0.9965,3.38,0.57,9.6,5
6,9.1,0.33,0.52,1.8,0.069,28,71,0.9981,3.12,0.81,9.8,6
7,6.5,0.42,0.15,1.5,0.074,11,29,0.9952,3.45,0.51,10.4,7
8,7.8,0.48,0.27,2.6,0.088,19,58,0.9972,3.27,0.66,9.7,5
9,8.7,0.36,0.44,2.2,0.079,24,67,0.9978,3.15,0.78,9.9,6
10,7.3,0.51,0.19,1.8,0.076,13,42,0.9963,3.33,0.6,9.8,6
11,6.8,0.44,0.16,2.0,0.073,14,40,0.9956,3.4,0.54,10.3,7
12,8.2,0.31,0.49,1.9,0.071,26,68,0.9979,3.16,0.76,9.7,6
13,7.5,0.58,0.09,2.1,0.084,15,46,0.9968,3.36,0.58,9.5,5
14,7.1,0.47,0.21,2.3,0.08,17,51,0.9964,3.34,0.61,9.9,6
15,8.9,0.34,0.5,1.7,0.07,27,69,0.998,3.13,0.79,9.8,6
