id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
200,7.9,0.32,0.42,1.8,0.058,14,38,0.9958,3.29,0.82,11.5,7
201,8.3,0.28,0.48,2.0,0.064,11,31,0.9962,3.22,0.91,12.0,8
202,7.1,0.36,0.38,1.5,0.061,16,44,0.9951,3.34,0.78,12.5,7
203,8.8,0.31,0.45,2.2,0.072,13,40,0.9971,3.16,0.85,11.2,7
204,7.4,0.30,0.51,1.7,0.055,18,52,0.9955,3.27,0.94,13.0,8
205,9.1,0.25,0.55,1.9,0.068,10,29,0.9978,3.14,0.88,11.8,7
206,7.6,0.34,0.44,2.1,0.062,15,43,0.9960,3.31,0.79,12.2,7
207,8.0,0.28,0.49,1.6,0.059,12,35,0.9957,3.25,0.92,13.5,8
208,7.3,0.38,0.36,2.3,0.066,20,58,0.9963,3.33,0.76,11.0,7
209,8.5,0.27,0.52,1.8,0.063,11,33,0.9967,3.21,0.86,12.8,8
210,7.7,0.33,0.41,2.0,0.057,17,49,0.9956,3.28,0.83,11.6,7
211,9.0,0.30,0.47,1.7,0.071,9,27,0.9973,3.17,0.90,12.1,7
