id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
100,7.2,0.38,0.31,2.1,0.071,18,52,0.9967,3.35,0.62,10.2,6
101,8.1,0.52,0.24,1.8,0.085,12,36,0.9972,3.22,0.74,9.8,5
102,6.8,0.41,0.18,2.4,0.068,22,65,0.9961,3.44,0.58,10.5,6
103,9.2,0.33,0.44,2.0,0.079,14,45,0.9980,3.18,0.81,9.6,6
104,7.5,0.48,0.29,1.6,0.063,16,48,0.9965,3.31,0.66,10.8,7
105,6.5,0.35,0.22,2.8,0.072,25,78,0.9958,3.48,0.54,11.2,6
106,8.4,0.61,0.15,1.9,0.091,11,32,0.9976,3.19,0.77,9.4,5
107,7.0,0.44,0.36,2.2,0.076,19,57,0.9963,3.37,0.63,10.6,6
108,10.1,0.29,0.52,1.7,0.082,8,28,0.9985,3.11,0.88,9.7,6
109,7.8,0.55,0.27,2.6,0.069,21,63,0.9970,3.28,0.71,10.3,6
